iter	Passed	Remaining
184	2022	8908
185	2034	8903
186	2042	8879
187	2052	8864
188	2068	8874
189	2079	8865
190	2091	8859
191	2105	8860
192	2114	8840
193	2127	8839
194	2143	8846
195	2150	8822
196	2163	8817
197	2173	8804
198	2185	8797
199	2198	8794
200	2210	8787
201	2222	8778
202	2234	8771
203	2248	8773
204	2262	8773
205	2271	8753
206	2279	8733
207	2291	8725
208	2304	8721
209	2313	8704
210	2327	8702
211	2339	8694
212	2349	8679
213	2360	8670
214	2371	8660
215	2381	8643
216	2393	8636
217	2406	8631
218	2417	8622
219	2432	8624
220	2445	8620
221	2457	8610
222	2470	8609
223	2478	8586
224	2490	8577
225	2498	8556
226	2505	8531
227	2519	8530
228	2533	8531
229	2546	8525
230	2554	8505
231	2567	8500
232	2580	8495
233	2592	8486
234	2604	8479
235	2617	8472
236	2631	8470
237	2642	8461
238	2650	8440
239	2661	8428
240	2676	8430
241	2685	8411
242	2700	8413
243	2714	8409
244	2727	8403
245	2740	8398
246	2752	8389
247	2765	8387
248	2778	8380
249	2791	8375
250	2799	8353
251	2812	8348
252	2825	8343
253	2840	8341
254	2853	8337
255	2865	8327
256	2879	8324
257	2891	8316
258	2905	8313
259	2917	8304
260	2927	8289
261	2941	8284
262	2955	8283
263	2968	8276
264	2982	8272
265	2994	8262
266	3004	8248
267	3017	8241
268	3029	8231
269	3042	8226
270	3052	8212
271	3066	8207
272	3079	8199
273	3093	8195
274	3107	8191
275	3119	8181
276	3132	8175
277	3144	8167
278	3155	8155
279	3168	8148
280	3182	8142
281	3194	8132
282	3204	8119
283	3217	8111
284	3231	8106
285	3242	8095
286	3251	8078
287	3259	8057
288	3269	8042
289	3283	8038
290	3296	8031
291	3305	8013
292	3316	8002
293	3329	7996
294	3343	7990
295	3356	7983
296	3366	7969
297	3379	7962
298	3390	7949
299	3397	7928
300	3406	7909
301	3418	7900
302	3432	7895
303	3442	7880
304	3450	7861
305	3461	7849
306	3471	7836
307	3481	7821
308	3495	7816
309	3503	7798
310	3513	7784
311	3526	7776
312	3539	7769
313	3548	7753
314	3560	7743
315	3575	7740
316	3588	7730
317	3600	7721
318	3612	7711
319	3620	7692
320	3628	7674
321	3637	7658
322	3654	7658
323	3666	7650
324	3675	7634
325	3685	7619
326	3698	7611
327	3713	7608
328	3724	7595
329	3739	7591
330	3748	7575
331	3762	7570
332	3775	7562
333	3787	7551
334	3794	7532
335	3805	7520
336	3820	7515
337	3830	7502
338	3839	7486
339	3854	7482
340	3869	7478
341	3883	7471
342	3897	7466
343	3907	7451
344	3921	7444
345	3934	7436
346	3943	7421
347	3951	7402
348	3962	7390
349	3975	7382
350	3984	7367
351	3997	7359
352	4012	7354
353	4025	7345
354	4040	7340
355	4050	7327
356	4062	7316
357	4070	7300
358	4083	7291
359	4093	7277
360	4105	7266
361	4116	7255
362	4130	7248
363	4143	7240
364	4157	7232
365	4172	7227
366	4180	7209
367	4190	7197
368	4203	7188
369	4219	7183
370	4227	7167
371	4238	7155
372	4252	7148
373	4262	7135
374	4272	7120
375	4282	7107
376	4291	7091
377	4292	7062
378	4302	7049
379	4313	7038
380	4328	7031
381	4343	7027
382	4355	7017
383	4371	7012
384	4378	6994
385	4387	6979
386	4401	6971
387	4410	6956
388	4421	6944
389	4431	6931
390	4444	6922
391	4456	6912
392	4469	6903
393	4484	6897
394	4496	6886
395	4504	6870
396	4517	6862
397	4527	6848
398	4542	6841
399	4555	6832
400	4562	6815
401	4575	6806
402	4588	6797
403	4596	6781
404	4609	6772
405	4622	6763
406	4633	6750
407	4645	6740
408	4654	6726
409	4668	6717
410	4682	6710
411	4692	6697
412	4703	6685
413	4717	6677
414	4734	6673
415	4747	6664
416	4759	6654
417	4766	6636
418	4778	6625
419	4789	6614
420	4802	6604
421	4811	6589
422	4824	6581
423	4835	6569
424	4849	6561
425	4861	6550
426	4871	6537
427	4884	6527
428	4897	6518
429	4911	6510
430	4923	6499
431	4934	6487
432	4945	6476
433	4958	6467
434	4967	6452
435	4975	6435
436	4988	6426
437	5001	6417
438	5012	6404
439	5023	6393
440	5034	6381
441	5041	6364
442	5051	6351
443	5060	6336
444	5072	6326
445	5085	6316
446	5099	6308
447	5110	6297
448	5124	6288
449	5138	6280
450	5151	6270
451	5164	6261
452	5179	6254
453	5192	6245
454	5201	6230
455	5208	6213
456	5217	6199
457	5229	6188
458	5238	6173
459	5249	6162
460	5260	6150
461	5272	6140
462	5281	6126
463	5290	6111
464	5302	6100
465	5312	6087
466	5321	6073
467	5332	6062
468	5348	6055
469	5362	6046
470	5375	6037
471	5388	6028
472	5398	6014
473	5411	6004
474	5424	5996
475	5436	5984
476	5444	5969
477	5456	5959
478	5465	5944
479	5479	5936
480	5488	5922
481	5500	5911
482	5514	5902
483	5528	5894
484	5535	5877
485	5545	5865
486	5557	5854
487	5570	5844
488	5582	5834
489	5596	5824
490	5609	5814
491	5623	5806
492	5635	5795
493	5647	5784
494	5662	5777
495	5674	5766
496	5684	5752
497	5696	5742
498	5709	5732
499	5722	5722
500	5735	5713
501	5748	5703
502	5761	5692
503	5776	5685
504	5788	5673
505	5802	5665
506	5812	5651
507	5824	5641
508	5837	5630
509	5845	5616
510	5854	5602
511	5867	5592
512	5882	5584
513	5893	5572
514	5906	5562
515	5919	5552
516	5933	5543
517	5944	5531
518	5956	5520
519	5968	5509
520	5980	5498
521	5991	5486
522	6004	5475
523	6018	5467
524	6033	5458
525	6046	5448
526	6057	5437
527	6069	5425
528	6084	5417
529	6098	5407
530	6110	5396
531	6119	5383
532	6129	5370
533	6139	5357
534	6152	5347
535	6166	5337
536	6176	5324
537	6187	5313
538	6194	5297
539	6202	5283
540	6214	5272
541	6228	5262
542	6239	5251
543	6251	5240
544	6263	5229
545	6275	5217
546	6290	5209
547	6302	5198
548	6315	5187
549	6327	5177
550	6340	5166
551	6353	5156
552	6365	5145
553	6376	5133
554	6389	5123
555	6405	5114
556	6413	5101
557	6428	5092
558	6439	5079
559	6452	5069
560	6463	5058
561	6475	5046
562	6489	5037
563	6498	5023
564	6514	5015
565	6526	5004
566	6539	4994
567	6555	4985
568	6571	4977
569	6584	4967
570	6597	4956
571	6605	4942
572	6618	4931
573	6627	4918
574	6640	4908
575	6653	4897
576	6665	4886
577	6673	4872
578	6684	4860
579	6699	4851
580	6713	4841
581	6726	4831
582	6739	4820
583	6754	4811
584	6768	4801
585	6784	4793
586	6796	4781
587	6810	4771
588	6820	4759
589	6836	4750
590	6850	4740
591	6863	4730
592	6876	4719
593	6887	4707
594	6900	4696
595	6909	4683
596	6921	4672
597	6933	4660
598	6943	4648
599	6957	4638
600	6970	4627
601	6985	4618
602	7000	4608
603	7011	4596
604	7025	4586
605	7038	4576
606	7053	4566
607	7064	4554
608	7073	4541
609	7083	4528
610	7091	4514
611	7104	4503
612	7116	4492
613	7127	4480
614	7135	4467
615	7148	4456
616	7157	4442
617	7167	4430
618	7180	4419
619	7191	4407
620	7199	4393
621	7209	4381
622	7218	4368
623	7230	4356
624	7240	4344
625	7255	4335
626	7268	4323
627	7280	4312
628	7295	4303
629	7307	4291
630	7320	4281
631	7332	4269
632	7341	4256
633	7355	4246
634	7365	4233
635	7378	4223
636	7391	4211
637	7404	4201
638	7416	4189
639	7425	4176
640	7437	4165
641	7452	4155
642	7464	4144
643	7475	4132
644	7487	4120
645	7499	4109
646	7508	4096
647	7519	4084
648	7535	4075
649	7543	4061
650	7554	4050
651	7577	4044
652	7590	4033
653	7606	4024
654	7617	4012
655	7627	3999
656	7642	3989
657	7655	3979
658	7667	3967
659	7681	3957
660	7690	3943
661	7704	3933
662	7715	3921
663	7724	3908
664	7736	3897
665	7748	3885
666	7759	3874
667	7772	3862
668	7784	3851
669	7796	3839
670	7809	3829
671	7820	3817
672	7832	3805
673	7849	3796
674	7862	3785
675	7872	3773
676	7885	3762
677	7899	3751
678	7913	3741
679	7927	3730
680	7942	3720
681	7957	3710
682	7971	3699
683	7983	3688
684	7995	3676
685	8006	3665
686	8018	3653
687	8031	3642
688	8046	3631
689	8056	3619
690	8068	3607
691	8079	3596
692	8092	3585
693	8103	3573
694	8111	3559
695	8122	3547
696	8134	3536
697	8147	3525
698	8160	3513
699	8174	3503
700	8190	3493
701	8203	3482
702	8215	3470
703	8227	3459
704	8239	3447
705	8252	3436
706	8265	3425
707	8273	3412
708	8287	3401
709	8300	3390
710	8314	3379
711	8323	3366
712	8338	3356
713	8351	3345
714	8365	3334
715	8377	3323
716	8389	3311
717	8399	3298
718	8410	3287
719	8422	3275
720	8434	3263
721	8449	3253
722	8462	3242
723	8475	3230
724	8486	3219
725	8494	3205
726	8503	3193
727	8517	3182
728	8532	3172
729	8546	3160
730	8555	3148
731	8572	3138
732	8582	3126
733	8598	3116
734	8613	3105
735	8624	3093
736	8633	3081
737	8646	3069
738	8655	3056
739	8669	3046
740	8680	3034
741	8693	3022
742	8704	3010
743	8716	2999
744	8726	2986
745	8740	2975
746	8755	2965
747	8768	2954
748	8780	2942
749	8795	2931
750	8806	2920
751	8818	2908
752	8829	2896
753	8842	2884
754	8857	2874
755	8871	2863
756	8880	2850
757	8895	2840
758	8908	2828
759	8916	2815
760	8929	2804
761	8944	2793
762	8957	2782
763	8970	2770
764	8985	2760
765	8993	2747
766	9007	2736
767	9019	2724
768	9033	2713
769	9047	2702
770	9061	2691
771	9075	2680
772	9089	2669
773	9100	2657
774	9112	2645
775	9122	2633
776	9136	2622
777	9148	2610
778	9163	2599
779	9175	2587
780	9188	2576
781	9201	2565
782	9211	2552
783	9223	2541
784	9233	2528
785	9241	2516
786	9254	2504
787	9266	2492
788	9273	2479
789	9285	2468
790	9297	2456
791	9305	2443
792	9314	2431
793	9327	2420
794	9340	2408
795	9352	2396
796	9365	2385
797	9377	2373
798	9389	2362
799	9403	2350
800	9412	2338
801	9424	2326
802	9435	2314
803	9445	2302
804	9457	2290
805	9468	2279
806	9480	2267
807	9494	2256
808	9508	2244
809	9520	2233
810	9533	2221
811	9544	2209
812	9554	2197
813	9566	2185
814	9579	2174
815	9588	2162
816	9604	2151
817	9605	2137
818	9620	2126
819	9632	2114
820	9642	2102
821	9654	2090
822	9667	2079
823	9678	2067
824	9692	2055
825	9704	2044
826	9718	2032
827	9730	2021
828	9739	2008
829	9751	1997
830	9765	1985
831	9778	1974
832	9792	1963
833	9807	1952
834	9824	1941
835	9838	1930
836	9852	1918
837	9865	1907
838	9878	1895
839	9889	1883
840	9902	1872
841	9912	1859
842	9923	1848
843	9933	1836
844	9943	1823
845	9956	1812
846	9967	1800
847	9980	1788
848	9991	1777
849	10004	1765
850	10015	1753
851	10030	1742
852	10042	1730
853	10053	1718
854	10064	1706
855	10078	1695
856	10087	1683
857	10099	1671
858	10110	1659
859	10124	1648
860	10139	1636
861	10150	1625
862	10166	1613
863	10175	1601
864	10183	1589
865	10191	1576
866	10205	1565
867	10219	1554
868	10231	1542
869	10242	1530
870	10254	1518
871	10267	1507
872	10279	1495
873	10292	1483
874	10306	1472
875	10318	1460
876	10332	1449
877	10346	1437
878	10358	1425
879	10372	1414
880	10384	1402
881	10397	1391
882	10410	1379
883	10420	1367
884	10431	1355
885	10446	1344
886	10463	1332
887	10472	1320
888	10486	1309
889	10496	1297
890	10508	1285
891	10520	1273
892	10532	1262
893	10544	1250
894	10556	1238
895	10567	1226
896	10580	1214
897	10592	1203
898	10606	1191
899	10620	1180
900	10635	1168
901	10650	1157
902	10663	1145
903	10674	1133
904	10687	1121
905	10699	1110
906	10708	1097
907	10715	1085
908	10728	1074
909	10741	1062
910	10752	1050
911	10766	1038
912	10778	1027
913	10790	1015
914	10802	1003
915	10816	991
916	10828	980
917	10836	968
918	10849	956
919	10863	944
920	10875	932
921	10888	921
922	10900	909
923	10915	897
924	10928	886
925	10940	874
926	10952	862
927	10966	850
928	10980	839
929	10993	827
930	11008	815
931	11022	804
932	11036	792
933	11044	780
934	11055	768
935	11069	756
936	11080	745
937	11096	733
938	11111	721
939	11123	709
940	11131	697
941	11147	686
942	11158	674
943	11167	662
944	11181	650
945	11194	639
946	11203	627
947	11215	615
948	11230	603
949	11244	591
950	11257	580
951	11268	568
952	11280	556
953	11292	544
954	11305	532
955	11317	520
956	11330	509
957	11339	497
958	11352	485
959	11365	473
960	11379	461
961	11392	450
962	11404	438
963	11412	426
964	11426	414
965	11442	402
966	11457	391
967	11472	379
968	11485	367
969	11496	355
970	11507	343
971	11522	331
972	11533	320
973	11548	308
974	11561	296
975	11575	284
976	11586	272
977	11598	260
978	11606	248
979	11617	237
980	11630	225
981	11644	213
982	11659	201
983	11672	189
984	11685	177
985	11694	166
986	11706	154
987	11720	142
988	11732	130
989	11745	118
990	11759	106
991	11773	94
992	11781	83
993	11795	71
994	11806	59
995	11821	47
996	11833	35
997	11844	23
998	11857	11
999	11870	0
